Gemeinde,Kanton,Einwohner,Fläche
Buochs,NW,5313,9.92
Bürchen,VS,752,13.39
Bure,JU,645,13.71
Büren (SO),SO,1046,6.22
Büren an der Aare,BE,3622,12.63
Burg (AG),AG,1033,0.92
Burg im Leimental,BL,280,2.88
Burgdorf,BE,16583,15.60
Burgistein,BE,1093,7.52
Bürglen (TG),TG,3953,11.72
Bürglen (UR),UR,3930,53.10
Büron,LU,2662,5.36
Bursinel,VD,492,1.80
Bursins,VD,779,3.40
Burtigny,VD,403,5.69
Buseno,GR,91,11.25
Büsserach,SO,2296,7.54
Bussigny,VD,9603,4.78
Bussnang,TG,2473,18.91
Busswil bei Melchnau,BE,177,2.88
Bussy-sur-Moudon,VD,218,3.13
Bütschwil-Ganterschwil,SG,5041,21.85
Büttenhardt,SH,437,4.01
Büttikon,AG,1061,2.82
Buttisholz,LU,3322,16.68
Buttwil,AG,1234,4.56
Buus,BL,1083,8.86
Cademario,TI,761,3.94
Cadempino,TI,1521,0.76
Cadenazzo,TI,2998,8.40
Calanca,GR,201,37.67
Cama,GR,589,15.05
Campo (Vallemaggia),TI,49,43.41
Canobbio,TI,2302,1.25
Capriasca,TI,6755,36.27
Carouge (GE),GE,22536,2.65
Cartigny,GE,971,4.41
Caslano,TI,4327,2.80
Castaneda,GR,278,3.94
Castel San Pietro,TI,2194,11.79
Cazis,GR,2287,31.20
Celerina/Schlarigna,GR,1484,24.05
Céligny,GE,792,4.67
Centovalli,TI,1135,53.49
Cerentino,TI,40,20.10
Cevio,TI,1142,151.32
Chalais,VS,3606,24.37
Cham,ZG,17042,17.76
Chamblon,VD,560,2.86
Chamoson,VS,3986,32.47
Champagne,VD,1062,3.91
Champéry,VS,1371,38.92
Champoz,BE,174,7.16
Champtauroz,VD,144,3.03
Champvent,VD,696,8.98
Chancy,GE,1708,5.38
Chapelle (Glâne),FR,320,2.01
Chardonne,VD,3092,10.28
Château-d'Oex,VD,3487,113.58
Châtel-Saint-Denis,FR,7449,47.89
Châtel-sur-Montsalvens,FR,317,2.00
Châtillon (FR),FR,520,1.31
Châtillon (JU),JU,485,5.27
Châtonnaye,FR,858,6.32
Chavannes-de-Bogis,VD,1341,2.87
Chavannes-des-Bois,VD,1002,2.13
Chavannes-le-Chêne,VD,324,4.00
Chavannes-le-Veyron,VD,152,2.66
Chavannes-près-Renens,VD,8460,1.66
Chavannes-sur-Moudon,VD,223,5.15
Chavornay,VD,5229,19.24
Chêne-Bougeries,GE,12621,4.14
Chêne-Bourg,GE,8791,1.26
Chêne-Pâquier,VD,143,2.08
Chénens,FR,843,3.94
Cheseaux-Noréaz,VD,740,5.94
Cheseaux-sur-Lausanne,VD,4360,4.56
Chéserex,VD,1249,10.55
Chessel,VD,444,3.53
Chevilly,VD,317,3.82
Chevroux,VD,494,3.42
Chexbres,VD,2252,2.20
Cheyres-Châbles,FR,2320,9.71
Chiasso,TI,7581,5.30
Chigny,VD,396,0.89
Chippis,VS,1597,1.98
Choulex,GE,1182,3.91
Chur,GR,37424,54.24
Churwalden,GR,1936,48.57
Clarmont,VD,201,1.01
Clos du Doubs,JU,1263,61.77
Coeuve,JU,740,11.57
Coinsins,VD,509,2.95
Coldrerio,TI,2867,2.48
Collex-Bossy,GE,1686,6.86
Collina d'Oro,TI,4604,6.19
Collombey-Muraz,VS,9598,29.74
Collonge-Bellerive,GE,8445,6.15
Collonges,VS,832,12.22
Cologny,GE,5866,3.68
Comano,TI,2084,2.04
Commugny,VD,3004,6.53
Concise,VD,1001,11.38
Confignon,GE,4579,2.76
Conters im Prättigau,GR,220,18.40
Conthey,VS,8857,85.01
Coppet,VD,3280,1.85
Corbeyrier,VD,445,22.03
Corbières,FR,919,9.69
Corcelles (BE),BE,201,6.79
